Depth,hzlm,UCS_pred,UCS_traditional,Es_pred,Es_traditional,Fai_pred,Fai_traditional,us_pred,us_traditional,C_pred,C_traditional
2760,0,33.38360259,28.49,5.626780974,5.77,22.8959371,28.87,0.210813422,0.2,8.50456679,7.4
2760.125,0,33.19649336,29.73,5.621093634,5.83,22.7340842,28.77,0.210765128,0.2,8.391164171,7.72
2760.25,0.337,33.0290585,30.83,5.626086816,5.86,22.93329729,28.57,0.211099292,0.2,8.386671027,8
2760.375,0.36,32.3571339,31.26,5.612876439,5.86,23.50503475,28.33,0.211484395,0.2,8.332300284,8.11
2760.5,0.377,32.24354404,31.46,5.637149108,5.84,23.52092896,28.03,0.210889771,0.2,8.361182418,8.16
2760.625,0.378,34.61556115,32.16,5.674565574,5.85,23.28780769,27.72,0.209829592,0.2,8.877468714,8.34
2760.75,0,36.46378437,33.85,5.750262369,5.9,23.26379059,27.34,0.201355543,0.19,9.282372988,8.77
2760.875,0,38.11161769,36.96,5.822547197,5.97,23.23397623,26.47,0.200407821,0.19,9.737921993,9.54
2761,0,38.75461708,40.56,5.88706634,6.02,23.54254402,25.09,0.199848023,0.19,9.932188396,10.41
2761.125,0,39.93823626,42.24,5.918376089,6.02,23.50668363,24.09,0.190718792,0.19,10.17211202,10.8
2761.25,0,40.85165021,41.45,5.959212854,5.98,23.25596855,24.02,0.190691198,0.19,10.4249845,10.61
2761.375,0,41.96954647,39.95,5.984491705,5.93,22.98120686,24.18,0.190890764,0.19,10.7670643,10.25
2761.5,0,42.36446566,39.02,5.98612067,5.88,22.84388329,23.93,0.19055641,0.2,10.79511552,10.01
2761.625,0,42.55802532,38.42,5.978995789,5.82,22.87111373,23.32,0.190380335,0.2,10.83422915,9.85
2761.75,0,41.56500115,38.1,5.975448852,5.78,23.18077952,22.59,0.190295567,0.2,10.65248171,9.76
2761.875,0,40.68152527,38.52,5.967443936,5.76,24.07776877,21.73,0.190458184,0.2,10.53524392,9.85
2762,0,39.62828343,39.1,5.965102743,5.77,24.43084808,21.41,0.190721961,0.2,10.22782852,9.98
2762.125,0,39.34350076,39.44,5.959311132,5.78,24.70820955,21.37,0.19090966,0.2,10.14198098,10.06
2762.25,0,38.61626267,39.16,5.964042131,5.77,25.22676031,21.4,0.190663379,0.2,9.948514068,9.99
2762.375,0,37.61476308,38.61,5.968404802,5.76,25.77187239,21.59,0.190628635,0.2,9.779352876,9.86
2762.5,0,36.84718363,37.59,5.957158651,5.74,26.18111125,21.93,0.190410802,0.2,9.515002236,9.62
2762.625,0,36.53873289,34.78,5.953503772,5.65,26.35214738,22.27,0.190360868,0.21,9.402575759,8.94
2762.75,0,37.42328695,30.15,5.973226928,5.52,26.07961498,22.81,0.191008359,0.21,9.736725143,7.79
2762.875,0,38.09955601,26.68,5.973266828,5.41,25.76992267,23.2,0.19067469,0.22,9.808970932,6.92
2763,0,38.06973347,26.83,5.989595166,5.41,25.72175356,23,0.190486448,0.22,9.933688253,6.96
2763.125,0,38.24241925,30.26,5.995588684,5.51,25.80456746,22.49,0.190161339,0.22,9.968944665,7.82
2763.25,0,37.91713209,34.78,5.983350638,5.64,26.01905119,21.93,0.190237878,0.21,9.950148046,8.94
2763.375,0,37.08196303,37.88,5.961404129,5.73,26.07078114,21.56,0.190686995,0.2,9.700221504,9.69
2763.5,0,36.33577944,38.91,5.940001844,5.77,26.36217514,21.62,0.191653708,0.2,9.433334407,9.94
2763.625,0,35.9247234,38.56,5.929094584,5.77,26.50006305,22.06,0.1917662,0.2,9.246396837,9.86
2763.75,0,35.43565748,38.09,5.915694259,5.76,26.61138781,22.18,0.192324876,0.2,9.14121422,9.75
2763.875,0,35.01550482,37.56,5.911533174,5.75,26.72063314,22.33,0.192820429,0.2,9.013278964,9.62
2764,0,34.70394065,37.19,5.910156405,5.74,26.78333434,22.5,0.193853498,0.2,9.000251899,9.54
2764.125,0,34.66250311,37.37,5.901241549,5.75,26.77018725,22.4,0.200539148,0.2,9.016505547,9.58
2764.25,0,34.25781659,37.48,5.887375396,5.75,26.86868055,22.31,0.201014198,0.2,8.919612975,9.6
2764.375,0,33.37044687,37.89,5.839575841,5.75,27.15850559,22.14,0.200458701,0.2,8.600981861,9.7
2764.5,0,32.00038115,39,5.82127468,5.78,27.36099502,21.9,0.200675973,0.2,8.259016032,9.96
2764.625,0,30.40377785,40.24,5.773211521,5.83,27.58188599,22.02,0.201612157,0.2,7.912869547,10.27
2764.75,0,29.58762095,40.86,5.733119702,5.88,27.83226043,22.56,0.202282952,0.2,7.610593193,10.43
2764.875,0,28.16242183,40.97,5.673881424,5.89,28.19708043,22.85,0.209815065,0.2,7.251442506,10.47
