Depth,hzlm,UCS_pred,UCS_traditional,Es_pred,Es_traditional,us_pred,us_traditional,Fai_pred,Fai_traditional,C_pred,C_traditional
2737,0,30.83947151,28.49,5.775619636,5.77,0.197414985,0.2,27.29801129,28.87,7.681550596,7.4
2737.125,0,32.30307654,29.73,5.844214897,5.83,0.196709815,0.2,27.12226113,28.77,8.318773678,7.72
2737.25,0,32.90564568,30.83,5.872318434,5.86,0.193534656,0.2,26.92409719,28.57,8.459030713,8
2737.375,0,33.17890912,31.26,5.890310987,5.86,0.195175538,0.2,26.84522311,28.33,8.47634899,8.11
2737.5,0,33.46463514,31.46,5.871083952,5.84,0.196776451,0.2,26.59618251,28.03,8.594791792,8.16
2737.625,0,34.38354591,32.16,5.879720425,5.85,0.196789238,0.2,26.24861221,27.72,8.815161709,8.34
2737.75,0,35.70701422,33.85,5.941775834,5.9,0.189437228,0.19,25.85453788,27.34,9.26114647,8.77
2737.875,0,39.70712157,36.96,6.019729545,5.97,0.186547686,0.19,25.282888,26.47,10.02166102,9.54
2738,0,41.84369328,40.56,6.062778699,6.02,0.185731524,0.19,24.61370374,25.09,10.59847023,10.41
2738.125,0,42.71993608,42.24,6.078785612,6.02,0.18631981,0.19,24.53491561,24.09,10.74078301,10.8
2738.25,0,41.72711787,41.45,6.036515511,5.98,0.187182859,0.19,24.53282475,24.02,10.64621893,10.61
2738.375,0,40.60789086,39.95,5.979691643,5.93,0.188447884,0.19,24.61719019,24.18,10.30954522,10.25
2738.5,0,40.22741332,39.02,5.923880129,5.88,0.196038558,0.2,24.72122175,23.93,10.17219842,10.01
2738.625,0,40.46891874,38.42,5.881107812,5.82,0.197291686,0.2,24.67149829,23.32,10.15459684,9.85
2738.75,0,39.03602663,38.1,5.827217002,5.78,0.197720134,0.2,24.41241433,22.59,9.921182257,9.76
2738.875,0,39.1575938,38.52,5.801868856,5.76,0.197960929,0.2,24.00203961,21.73,9.877581754,9.85
2739,0,39.74207366,39.1,5.82755045,5.77,0.197639931,0.2,23.6959503,21.41,10.02480235,9.98
2739.125,0,40.07175625,39.44,5.833742227,5.78,0.197752823,0.2,23.66909644,21.37,10.11236881,10.06
2739.25,0,40.15039158,39.16,5.807694274,5.77,0.197986147,0.2,23.61433018,21.4,10.05008432,9.99
2739.375,0.401,39.89937834,38.61,5.78103802,5.76,0.199350381,0.2,23.56840411,21.59,10.10021882,9.86
2739.5,0.418,38.27742597,37.59,5.694929175,5.74,0.203840719,0.2,23.50372569,21.93,9.876360929,9.62
2739.625,0.462,36.15746885,34.78,5.606650133,5.65,0.209643558,0.21,23.51891426,22.27,9.156275571,8.94
2739.75,0.527,32.39823151,30.15,5.517740627,5.52,0.21368621,0.21,23.96069658,22.81,8.148043741,7.79
2739.875,0.559,30.37587525,26.68,5.433851153,5.41,0.218542406,0.22,24.2662415,23.2,7.675348283,6.92
2740,0.518,30.15283944,26.83,5.421031331,5.41,0.218634743,0.22,24.3748234,23,7.489732391,6.96
2740.125,0.441,32.01172645,30.26,5.469455961,5.51,0.217010942,0.22,23.9606988,22.49,8.060684526,7.82
2740.25,0.389,36.06512739,34.78,5.600211968,5.64,0.2137548,0.21,23.30963777,21.93,9.183082351,8.94
2740.375,0.381,39.15495101,37.88,5.738402253,5.73,0.201054894,0.2,23.32511651,21.56,9.994378911,9.69
2740.5,0.396,40.49100657,38.91,5.799395812,5.77,0.197850711,0.2,23.58277089,21.62,10.26503882,9.94
2740.625,0,39.46168682,38.56,5.821495917,5.77,0.198019732,0.2,23.96912552,22.06,9.949967306,9.86
2740.75,0,39.07441473,38.09,5.830954134,5.76,0.198357402,0.2,24.08227982,22.18,9.84235555,9.75
2740.875,0,38.61729635,37.56,5.816113975,5.75,0.198424361,0.2,24.24300275,22.33,9.795586794,9.62
2741,0,38.76032777,37.19,5.812085203,5.74,0.198428785,0.2,24.37245301,22.5,9.76982287,9.54
2741.125,0,39.05837112,37.37,5.810858369,5.75,0.198514762,0.2,24.28762466,22.4,9.888902613,9.58
2741.25,0,39.06934146,37.48,5.800571457,5.75,0.198502149,0.2,24.202439,22.31,9.885345107,9.6
2741.375,0,39.01747659,37.89,5.800634307,5.75,0.198095489,0.2,23.96232047,22.14,9.902784044,9.7
2741.5,0,39.51475804,39,5.852341611,5.78,0.197715702,0.2,24.01224471,21.9,9.974419662,9.96
2741.625,0,40.86865086,40.24,5.886002334,5.83,0.197345002,0.2,24.21152755,22.02,10.29597471,10.27
2741.75,0,41.34351119,40.86,5.927153364,5.88,0.196323871,0.2,24.58865124,22.56,10.41937981,10.43
2741.875,0,41.37190561,40.97,5.947386756,5.89,0.196435577,0.2,24.72330974,22.85,10.40710557,10.47
2742,0,41.53131792,41.35,5.952269913,5.89,0.196735933,0.2,24.58463447,22.36,10.51698031,10.54
2742.125,0,41.52029372,41.73,5.921649216,5.86,0.197300184,0.2,23.97210597,21.4,10.48254516,10.61
2742.25,0,41.66573842,41.33,5.896115697,5.84,0.197322632,0.2,23.79648685,21.15,10.44405685,10.5
2742.375,0,41.71724327,41.43,5.895845112,5.84,0.197303379,0.2,23.93621391,21.14,10.44320648,10.53
2742.5,0,41.27911462,41.52,5.931447447,5.87,0.19662217,0.2,24.23243997,21.81,10.47087698,10.57
2742.625,0,41.41887986,41.16,5.967307801,5.9,0.194518663,0.2,24.72955763,22.87,10.45992741,10.51
2742.75,0,40.96401277,40.08,5.988573862,5.92,0.189340751,0.19,24.79228131,23.99,10.38548659,10.27
2742.875,0,40.47909735,39.37,5.991206743,5.93,0.188616805,0.19,24.99587036,24.51,10.19758272,10.11
2743,0,40.64156142,39.57,5.975610067,5.93,0.18799061,0.19,24.9863485,24.43,10.25537117,10.16
2743.125,0,40.76728275,39.64,5.992102449,5.94,0.187496995,0.19,25.03639823,24.51,10.273163,10.18
2743.25,0,41.17062129,38.61,6.009642885,5.95,0.186783896,0.19,24.91722515,25.24,10.40694137,9.93
2743.375,0,39.07139763,36.92,5.991676907,5.94,0.186658946,0.19,25.49157478,26.12,10.00431451,9.53
2743.5,0,37.65419863,35.6,5.963584426,5.92,0.187191951,0.19,25.7632009,26.62,9.676840554,9.2
2743.625,0,37.19327557,34.9,5.942434453,5.89,0.189361294,0.19,25.61903197,26.67,9.54437806,9.03
2743.75,0,37.03037449,34.39,5.915691308,5.86,0.196726288,0.2,25.59159028,26.56,9.45159952,8.9
2743.875,0,36.35552808,33.59,5.878714005,5.83,0.197389817,0.2,25.56616819,26.61,9.235665071,8.7
2744,0,35.86620008,32.76,5.854332141,5.81,0.197417035,0.2,25.87377115,26.83,9.075719548,8.49
2744.125,0,34.82945732,32.4,5.844319704,5.81,0.197471622,0.2,26.04773681,27.07,8.793192269,8.39
2744.25,0,34.49309348,32.35,5.873464082,5.83,0.196785943,0.2,26.13984954,27.31,8.807000156,8.38
2744.375,0,34.08478468,32.14,5.879652626,5.84,0.196495235,0.2,26.34739048,27.61,8.759986108,8.33
2744.5,0,33.45247228,31.98,5.879727104,5.84,0.196268819,0.2,26.44835477,27.73,8.564313501,8.29
2744.625,0,34.18558792,32.36,5.882455797,5.84,0.196441035,0.2,26.27750281,27.46,8.739473941,8.39
2744.75,0,34.30236348,32.93,5.866023758,5.83,0.1968038,0.2,26.02938216,27.03,8.740541317,8.53
2744.875,0,34.6731362,32.77,5.844126011,5.81,0.197484979,0.2,26.00172247,26.85,8.821120301,8.49
2745,0,33.75480995,31.73,5.820472327,5.77,0.197801626,0.2,25.91139794,27.01,8.573689188,8.23
2745.125,0,32.55777589,30.37,5.763461275,5.74,0.198149376,0.2,26.14472847,27.46,8.361642279,7.88
2745.25,0,31.56721847,29.36,5.749651251,5.73,0.198067118,0.2,26.43356326,27.93,8.085737186,7.62
2745.375,0,31.19724225,29.24,5.750150562,5.73,0.19813378,0.2,26.49355338,28.01,8.031260302,7.59
2745.5,0,31.25795685,29.6,5.772043454,5.74,0.19771712,0.2,26.48370573,27.84,8.023312802,7.68
2745.625,0,31.56151426,30,5.778673185,5.75,0.197830145,0.2,26.61533409,27.77,7.983041816,7.79
2745.75,0,32.38082198,30.75,5.82067204,5.79,0.197462989,0.2,26.51117244,27.83,8.221850945,7.98
2745.875,0,33.66175192,32.37,5.891922861,5.86,0.194482728,0.2,26.44878702,27.73,8.677417065,8.39
2746,0,36.50643189,34.4,5.965051903,5.94,0.186761675,0.19,26.11132059,27.43,9.38407809,8.91
2746.125,0,37.92813177,35.78,5.988748574,5.98,0.185704585,0.19,25.82169405,27.14,9.73416639,9.25
2746.25,0,37.79609698,35.8,5.986142667,5.98,0.185697265,0.19,25.81690499,27.12,9.599657937,9.26
2746.375,0,36.72613133,34.59,5.962350203,5.94,0.186640425,0.19,25.9224719,27.33,9.272164561,8.95
2746.5,0,33.87473285,32.72,5.8932397,5.87,0.189865115,0.19,26.22674737,27.65,8.695862887,8.48
2746.625,0,32.50686857,31.06,5.846674141,5.82,0.196797844,0.2,26.57307052,27.94,8.325813163,8.06
2746.75,0,32.33549984,30.04,5.812790445,5.78,0.197438264,0.2,26.84105714,28.14,8.228662306,7.8
2746.875,0,32.07912088,29.68,5.808345576,5.77,0.197349176,0.2,26.87232089,28.21,8.205555185,7.7
2747,0,31.63102624,29.68,5.784583544,5.76,0.197632427,0.2,26.6708366,28.11,8.109986878,7.71
2747.125,0,32.41657367,30.21,5.773382215,5.75,0.197618596,0.2,26.17941044,27.62,8.309267979,7.84
2747.25,0,34.07662689,31.69,5.759262518,5.73,0.197838673,0.2,25.44419448,26.4,8.631161289,8.21
2747.375,0,36.61854127,34.58,5.749649287,5.71,0.19934383,0.2,24.66474553,24.03,9.312980129,8.92
2747.5,0,38.90032196,37.12,5.775956496,5.71,0.203329554,0.21,23.80561615,21.65,9.800730242,9.5
2747.625,0.431,39.99236082,37.63,5.78107173,5.73,0.200448812,0.2,23.43685474,21.59,10.13526245,9.63
2747.75,0.451,40.20390236,38.48,5.801537538,5.75,0.198327062,0.2,23.5267101,21.49,10.06847198,9.83
2747.875,0.47,40.41870345,38.5,5.804302547,5.77,0.197953429,0.2,23.63904512,22.05,10.2278804,9.85
2748,0.47,40.46009979,38.65,5.807396654,5.78,0.197975147,0.2,23.55923024,22,10.24497027,9.88
2748.125,0.471,40.4199691,38.1,5.796984738,5.76,0.198064248,0.2,23.66272852,21.95,10.23793305,9.75
2748.25,0.479,38.92951918,36.87,5.75630046,5.72,0.198971062,0.2,23.6445677,22.22,9.895812668,9.45
2748.375,0.48,37.90008949,35.97,5.729574407,5.7,0.204106531,0.21,23.71153055,22.33,9.636576747,9.23
2748.5,0.458,39.50620557,36.62,5.741425105,5.71,0.204077309,0.21,23.62387408,21.96,9.99601077,9.39
2748.625,0.419,41.3278156,39.52,5.828112895,5.78,0.197213703,0.2,23.38816758,21.36,10.45059018,10.08
2748.75,0.395,44.88689393,42.56,5.919533307,5.87,0.196041243,0.2,23.06138369,21,11.30936316,10.79
2748.875,0.429,42.35209404,41.05,5.878046477,5.83,0.195864904,0.2,22.89904553,21.18,10.6253019,10.44
2749,0.519,36.82057329,34.16,5.677730418,5.63,0.199084477,0.2,23.3841048,22.28,9.318913815,8.79
2749.125,0.6,30.88383998,28.29,5.518066396,5.47,0.209197598,0.21,24.32160582,23.44,7.825078119,7.33
2749.25,0.589,30.75723141,27.79,5.464216401,5.47,0.2150748,0.22,24.60546405,23.8,7.734193342,7.21
2749.375,0.522,33.49577543,32.5,5.550115918,5.62,0.214041705,0.21,24.23861013,23.53,8.369703983,8.39
2749.5,0,38.40716587,39.13,5.787816587,5.83,0.199976925,0.2,24.58800945,22.96,9.719370482,10.02
2749.625,0,43.01135305,43.51,6.025569468,5.98,0.188092415,0.19,24.29809454,22.67,10.80457878,11.07
2749.75,0,44.64310125,44.87,6.058757964,6.04,0.18555968,0.19,24.50430299,22.83,11.21626136,11.4
2749.875,0,45.28569679,44.75,6.126001264,6.07,0.185267439,0.19,24.61225007,23.36,11.37178559,11.39
2750,0,44.8579238,43.71,6.140645206,6.08,0.185299694,0.19,24.84184958,24.03,11.24584735,11.16
2750.125,0,42.72399185,41.29,6.044613833,6.02,0.186133641,0.19,24.72696866,24.71,10.73834609,10.58
2750.25,0,40.42425636,38.5,5.979673357,5.93,0.187377707,0.19,24.93150611,25.06,10.22726777,9.9
2750.375,0,39.10954989,37.01,5.913928654,5.85,0.196892175,0.2,25.20509786,24.8,9.901818385,9.53
2750.5,0,39.69132852,37.28,5.879227501,5.82,0.197394038,0.2,24.92971486,24.09,9.991468748,9.59
2750.625,0,40.55507965,38.28,5.888871134,5.83,0.197392387,0.2,24.89749096,23.49,10.22431468,9.82
2750.75,0,40.67745454,38.63,5.897399475,5.83,0.197450629,0.2,24.79679112,23.23,10.27133188,9.9
2750.875,0,39.5670085,37.75,5.842982092,5.79,0.197957036,0.2,24.70600583,23.05,9.946131573,9.69
2751,0,37.29952862,36.03,5.7798601,5.71,0.198502747,0.2,24.2349969,22.7,9.46422859,9.26
2751.125,0.553,37.16073936,35.04,5.697763686,5.66,0.206391667,0.21,23.64919418,22.08,9.376630765,9
2751.25,0.505,36.68382808,34.82,5.687670827,5.65,0.206147385,0.21,23.49252711,21.93,9.197083818,8.95
2751.375,0.462,37.89551771,35.5,5.732882825,5.67,0.20582191,0.21,23.62199822,21.84,9.511847373,9.11
2751.5,0.435,38.40339983,36.34,5.75915046,5.69,0.205534206,0.21,23.64912321,21.74,9.69868878,9.32
2751.625,0.421,39.04658274,36.97,5.77591097,5.71,0.204994647,0.21,23.66771732,21.67,9.841042084,9.47
2751.75,0.41,39.69732216,37.77,5.792793824,5.73,0.204251521,0.21,23.80141591,21.57,9.998919886,9.66
2751.875,0.408,40.34743147,38.66,5.828483018,5.76,0.197603863,0.2,23.68829983,21.52,10.1054401,9.87
2752,0.413,40.98577475,39.36,5.813027057,5.78,0.197302226,0.2,23.62239601,21.38,10.27452809,10.04
2752.125,0.426,41.20525648,39.35,5.827094285,5.78,0.197263601,0.2,23.5171196,21.38,10.34904714,10.04
2752.25,0.443,40.8088021,39.1,5.822989463,5.77,0.197246192,0.2,23.46887462,21.41,10.35663993,9.98
2752.375,0.457,41.01996611,39.08,5.803349512,5.77,0.197229663,0.2,23.30567015,21.49,10.33202638,9.98
2752.5,0.461,41.38004341,39.33,5.814881219,5.78,0.196998904,0.2,23.34700697,21.6,10.42048276,10.04
2752.625,0.449,42.23711171,40.16,5.818266682,5.8,0.197674739,0.2,23.40343529,21.28,10.60753077,10.23
2752.75,0.435,42.55253191,40.62,5.847596019,5.82,0.196944896,0.2,23.38724154,21.23,10.6597653,10.34
2752.875,0.429,42.33367816,40.92,5.858479434,5.82,0.196917828,0.2,23.41947414,21.2,10.62186355,10.41
2753,0.428,41.86134019,41.04,5.877733482,5.84,0.196701837,0.2,23.62129773,21.45,10.71823007,10.44
2753.125,0.42,42.81971255,41.83,5.90254876,5.86,0.196164615,0.2,23.40719476,21.38,10.90253519,10.63
2753.25,0,41.85002688,42.85,5.931285495,5.89,0.18980488,0.19,23.69361162,21.12,10.55065476,10.87
2753.375,0,42.31358209,43.48,5.934665022,5.9,0.187648768,0.19,23.53328538,20.9,10.6172271,11.01
2753.5,0,42.6259101,43.57,5.943859618,5.9,0.18767361,0.19,23.42510922,20.89,10.80760193,11.03
2753.625,0,43.13997246,43.56,5.955023916,5.9,0.187534037,0.19,23.36832943,20.89,10.92233143,11.03
2753.75,0,44.06182722,43.57,5.961958442,5.9,0.187587035,0.19,22.78025116,20.88,11.17843427,11.03
2753.875,0,44.78417541,43.6,5.966689906,5.9,0.187561611,0.19,22.33373937,20.88,11.31007301,11.04
2754,0,45.04612162,43.91,5.971756812,5.91,0.187331192,0.19,22.10258171,20.85,11.35705806,11.11
2754.125,0,44.48109305,44.57,5.986903456,5.93,0.186871691,0.19,22.84361082,20.77,11.29688913,11.26
2754.25,0,43.95975321,45.09,6.003747556,5.95,0.186921445,0.19,23.73411992,20.8,10.94367355,11.39
2754.375,0,41.08390673,41.71,5.991976142,5.96,0.187121733,0.19,24.58133176,23.46,10.37761855,10.66
2754.5,0,39.82215066,39.58,5.986894266,5.95,0.187263948,0.19,25.07043808,24.75,10.12671568,10.17
2754.625,0,39.73142016,38.71,5.990717166,5.95,0.187208425,0.19,25.10663363,25.25,10.09589083,9.96
2754.75,0,40.26762462,38.45,6.006855727,5.96,0.187202132,0.19,25.06477557,25.49,10.18778301,9.9
2754.875,0,39.54823095,38.25,6.027228658,5.97,0.187395287,0.19,25.14866714,25.79,10.06243619,9.85
2755,0,39.8796031,38.27,6.029400886,5.99,0.186534033,0.19,25.08680631,25.93,10.12301653,9.86
2755.125,0,39.93027415,38.93,6.0216816,6,0.18642293,0.19,25.01352606,25.67,10.17722703,10.02
2755.25,0,41.39640766,40.33,6.028189023,6,0.186473123,0.19,24.38954436,25,10.50275949,10.35
2755.375,0,41.98855111,41.61,6.033808863,6.02,0.186423217,0.19,24.63122523,24.41,10.61739983,10.66
2755.5,0,42.5093645,41.88,6.055098277,6.03,0.185870789,0.19,24.60626998,24.46,10.73701259,10.72
2755.625,0,42.48626492,41.72,6.099045821,6.05,0.185864335,0.19,24.73482923,24.77,10.73252758,10.69
2755.75,0,42.66994701,41.8,6.104570546,6.06,0.18581936,0.19,24.76750283,24.85,10.85451713,10.71
2755.875,0,42.86659485,42.1,6.10066716,6.05,0.185876615,0.19,24.70342305,24.64,10.89708636,10.78
2756,0,42.89056115,42.36,6.098261107,6.04,0.185658963,0.19,24.65501033,24.36,10.83456139,10.84
2756.125,0,42.89487137,42.39,6.098183201,6.04,0.185658963,0.19,24.67048957,24.32,10.83729679,10.84
2756.25,0,43.01567495,42.08,6.100811901,6.05,0.185663693,0.19,24.69331992,24.56,10.89854489,10.77
2756.375,0,43.4659771,41.52,6.116304093,6.05,0.185696397,0.19,24.69365846,24.91,11.0067638,10.64
2756.5,0,43.62976917,41.25,6.107975241,6.05,0.185450611,0.19,24.73803111,25.06,11.053883,10.58
2756.625,0,43.88077971,41.69,6.116675931,6.06,0.185385182,0.19,24.72854511,24.9,11.09001174,10.68
2756.75,0,44.09762897,42.59,6.125652886,6.07,0.185226445,0.19,24.69301506,24.59,11.13299551,10.9
2756.875,0,44.60353645,43.22,6.172115307,6.08,0.18509206,0.19,24.72829625,24.41,11.26758638,11.05
2757,0,43.92445745,42.65,6.167986106,6.08,0.185182715,0.19,24.78289591,24.7,11.18796527,10.92
2757.125,0,42.67525989,41.12,6.134797654,6.07,0.185440896,0.19,24.95422154,25.33,10.87297836,10.55
2757.25,0,41.62344036,39.98,6.094108749,6.05,0.185496046,0.19,25.06543053,25.77,10.6149899,10.28
2757.375,0,41.60028468,39.56,6.099398531,6.04,0.185488896,0.19,25.05629682,25.88,10.54383286,10.18
2757.5,0,40.9606984,38.89,6.053780053,6.02,0.185951868,0.19,25.17034871,26.03,10.42478411,10.01
2757.625,0,39.54809725,37.71,6.024395346,5.99,0.185950012,0.19,25.331254,26.26,10.15648807,9.72
2757.75,0,38.29676722,36.46,5.993159745,5.95,0.186752876,0.19,25.69904744,26.45,9.704050594,9.42
2757.875,0,36.40098506,35.63,5.9550576,5.92,0.187047968,0.19,25.82188396,26.62,9.316056211,9.21
2758,0,36.60054532,35.31,5.948523639,5.92,0.187210128,0.19,25.81788886,26.79,9.376579564,9.13
2758.125,0,37.4010715,35.62,5.965003559,5.93,0.187196989,0.19,25.55776932,26.71,9.579346344,9.21
2758.25,0,37.2115077,35.8,5.946566584,5.91,0.187769402,0.19,25.48305566,26.42,9.540906284,9.25
2758.375,0,36.30648584,34.66,5.906702094,5.86,0.196456297,0.2,25.53886734,26.47,9.300727767,8.96
2758.5,0,34.78599737,32.56,5.844854894,5.81,0.197468901,0.2,25.97087694,27.02,8.846492437,8.44
2758.625,0,32.94766626,30.94,5.803869935,5.78,0.197389509,0.2,26.34118155,27.64,8.315039855,8.03
2758.75,0,32.63277831,30.61,5.809861493,5.79,0.197435107,0.2,26.49084439,27.87,8.230318165,7.94
2758.875,0,33.01366134,31.01,5.814169088,5.8,0.197435658,0.2,26.42233592,27.79,8.34254466,8.04
2759,0,33.08664334,30.81,5.802837948,5.79,0.197409983,0.2,26.41161695,27.74,8.373084327,7.99
2759.125,0,31.28920335,29.45,5.750159202,5.74,0.19806806,0.2,26.47881005,27.97,8.00214276,7.64
2759.25,0,29.49271494,27.52,5.711172732,5.69,0.199710166,0.2,27.01371989,28.46,7.487345586,7.15
2759.375,0,29.12346596,26.1,5.69849665,5.65,0.204798785,0.21,27.30941792,28.93,7.339164648,6.78
2759.5,0,28.81205486,25.49,5.658967844,5.65,0.204518455,0.21,27.30167032,29.24,7.314204847,6.62
2759.625,0,28.18908357,25.5,5.642557175,5.66,0.201335645,0.2,27.30535887,29.36,7.149778785,6.62
2759.75,0,27.58324862,25.64,5.599307345,5.67,0.20687998,0.2,27.36824954,29.4,7.118350336,6.65
2759.875,0,27.8331794,25.71,5.510348545,5.68,0.207140291,0.2,27.5702006,29.46,7.127535381,6.67
2760,0,27.92693407,25.74,5.507468229,5.69,0.207254914,0.2,27.78310642,29.58,7.188616813,6.68
2760.125,0,28.05588909,26.03,5.51782876,5.71,0.207529484,0.2,27.77128143,29.62,7.191421928,6.76
2760.25,0,28.50932682,26.42,5.539108883,5.73,0.207396323,0.2,27.68841169,29.57,7.313561635,6.86
